5-4),(448-44),463.225396744416
220-113),(428-17),290.8935546875
220-113),(428-17),291.479370117188
220-113),(428-17),291.479370117188
220-113),(428-17),290.8935546875
220-113),(428-17),291.479370117188
220-113),(428-17),291.479370117188
220-113),(428-17),290.8935546875
220-113),(428-17),291.479370117188
220-113),(428-17),291.479370117188
220-113),(428-17),291.721984863281
220-113),(428-17),292.307800292969
220-113),(428-17),292.307800292969
220-113),(428-17),291.721984863281
220-113),(428-17),292.307800292969
220-113),(428-17),292.307800292969
